Linux 5.15.0-1054-kvm (large-instance-spare) 	04/17/24 	_x86_64_	(24 CPU)

17:55:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:00:20     all    0.00    0.00    0.00   12.46    0.00    0.00    0.04    0.00    0.00   87.49
18:00:21     all    0.00    0.00    0.00   12.49    0.00    0.00    0.00    0.00    0.00   87.51
18:00:22     all    0.00    0.00    0.00   12.51    0.00    0.00    0.00    0.00    0.00   87.49
18:00:23     all    0.00    0.00    0.00   12.49    0.00    0.00    0.00    0.00    0.00   87.51
18:00:24     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
18:00:25     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
18:00:26     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
18:00:27     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
18:00:28     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
18:00:29     all    0.00    0.00    0.04   12.50    0.00    0.00    0.00    0.00    0.00   87.46
18:00:30     all    0.04    0.00    0.08   12.48    0.00    0.00    0.00    0.00    0.00   87.39
18:00:31     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
18:00:32     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
18:00:33     all    0.00    0.00    0.04   12.46    0.00    0.00    0.00    0.00    0.00   87.50
18:00:34     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
18:00:35     all    0.08    0.00    3.67    9.97    0.00    0.00    0.04    0.00    0.00   86.24
18:00:36     all    0.13    0.00    1.72    9.77    0.00    0.00    0.04    0.00    0.00   88.35
