NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=230743769088
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 23462842368 bytes
Free Memory: 22641659904 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[212][HASHGEN]: 55.29% completed, ETA 172.2 seconds, 256/512 flushes, 245.8 MB/sec
[213][HASHGEN]: 55.67% completed, ETA 170.4 seconds, 256/512 flushes, 244.7 MB/sec
[214][HASHGEN]: 56.24% completed, ETA 167.3 seconds, 256/512 flushes, 372.4 MB/sec
[215][HASHGEN]: 56.97% completed, ETA 163.1 seconds, 256/512 flushes, 482.8 MB/sec
[216][HASHGEN]: 57.68% completed, ETA 159.2 seconds, 256/512 flushes, 466.0 MB/sec
[217][HASHGEN]: 58.49% completed, ETA 154.7 seconds, 256/512 flushes, 523.8 MB/sec
[218][HASHGEN]: 59.13% completed, ETA 151.4 seconds, 256/512 flushes, 419.1 MB/sec
[219][HASHGEN]: 59.66% completed, ETA 148.8 seconds, 256/512 flushes, 348.1 MB/sec
[220][HASHGEN]: 60.28% completed, ETA 145.6 seconds, 256/512 flushes, 405.8 MB/sec
[221][HASHGEN]: 60.88% completed, ETA 142.6 seconds, 256/512 flushes, 395.1 MB/sec
[222][HASHGEN]: 61.32% completed, ETA 140.7 seconds, 256/512 flushes, 287.9 MB/sec
[223][HASHGEN]: 61.77% completed, ETA 138.6 seconds, 256/512 flushes, 292.7 MB/sec
[224][HASHGEN]: 62.19% completed, ETA 136.8 seconds, 256/512 flushes, 275.4 MB/sec
[225][HASHGEN]: 62.61% completed, ETA 135.0 seconds, 256/512 flushes, 276.6 MB/sec
[226][HASHGEN]: 63.04% completed, ETA 133.1 seconds, 256/512 flushes, 283.3 MB/sec
[227][HASHGEN]: 63.48% completed, ETA 131.1 seconds, 256/512 flushes, 288.7 MB/sec
[228][HASHGEN]: 63.91% completed, ETA 129.3 seconds, 256/512 flushes, 279.4 MB/sec
[229][HASHGEN]: 64.34% completed, ETA 127.5 seconds, 256/512 flushes, 278.5 MB/sec
[230][HASHGEN]: 64.78% completed, ETA 125.6 seconds, 256/512 flushes, 289.2 MB/sec
[231][HASHGEN]: 65.17% completed, ETA 124.0 seconds, 256/512 flushes, 257.0 MB/sec
[233][HASHGEN]: 65.58% completed, ETA 122.3 seconds, 256/512 flushes, 270.2 MB/sec
